program,tier,niche,base_pay,view_bonus,volume_cap,requirements,apply_link,status,date_applied,response,trial_videos,best_video_views,notes
Turbo AI,1,AI study app,$20+/video (claimed),performance bonuses,1/day,new dedicated TikTok+IG accounts; college students,https://turbocreators.com/,not applied,,,,,check exclusivity vs other study apps
Knowunity,1,study app,paid per video (amount not public),unknown,unknown,no followers; check US/English eligibility,https://knowunity.com/creators,not applied,,,,,
Mimo,1,learn-to-code app,$50/video,$1 per 1k views after 100k in 14 days; viral bonus up to $2500,up to 5/week once invited,new TikTok account OK,https://jobs.mimo.org/o/ugc-creator-freelance,not applied,,,,,
Kiwi AI,1,AI app,€20/post,up to €140/post (views/comments/installs),1/day,any follower count,https://creators.kiwi.app/en/,not applied,,,,,
Solvely.ai,1,AI homework app,not public,not public,unknown,US; TikTok/IG/Shorts,https://www.linkedin.com/jobs/view/ugc-creator-at-solvely-ai-4382244195,not applied,,,,,check exclusivity vs Knowunity
AI Education App (unnamed),1,AI education app,not public,not public,unknown,age 18-26,https://www.mandy.com/aa/job/3117838/ai-education-app-ugc-creator/5485968/,not applied,,,,,get company name first
Larven AI,1,AI app,per video (unverified),unknown,unknown,unknown,https://larven.ai/ugc-affiliate,not applied,,,,,unverified
Whop Content Rewards,2,various,none,~$1-5 per 1k views,per-campaign budget and caps,none,https://docs.whop.com/memberships-and-access/third-party-apps/content-rewards,not started,,,,,paid practice
SideShift,3,marketplace (students),varies,n/a,n/a,portfolio,https://sideshift.app/creators,not applied,,,,,
JoinBrands,3,marketplace,~$25-60/video,n/a,n/a,portfolio,https://joinbrands.com,not applied,,,,,
Billo,3,marketplace,share of $75-300,n/a,n/a,portfolio,https://billo.app,not applied,,,,,
Twirl,3,marketplace (apps/consumer),$90-300+/project,n/a,n/a,portfolio,https://www.usetwirl.com/for-creators,not applied,,,,,
Insense,3,marketplace,varies,n/a,n/a,portfolio,https://insense.pro,not applied,,,,,
Influee,3,marketplace,unknown,n/a,n/a,portfolio,https://influee.co/for-creators,not applied,,,,,
